model,noise_level,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std
elastic,0.0,0.9266666666666666,0.07178008743642593,0.8066666666666666,0.07286647932708021
elastic,0.1,0.926,0.07159409393039545,0.8133333333333332,0.07187952884282606
elastic,0.25,0.9053333333333333,0.057054693893124134,0.7899999999999999,0.10035650736961987
elastic,0.5,0.8686666666666666,0.07980929651064349,0.7633333333333333,0.1043118036511323
elastic,1.0,0.818,0.10297017598730784,0.7466666666666666,0.10600988273786192
svm,0.0,0.906,0.07346524931655003,0.8133333333333332,0.06935073041809875
svm,0.1,0.9019999999999999,0.07232861516321581,0.8166666666666667,0.07237468644557458
svm,0.25,0.8953333333333333,0.06780925628625668,0.7933333333333333,0.07527726527090814
svm,0.5,0.872,0.09600595219642821,0.7866666666666667,0.10932694522568968
svm,1.0,0.834,0.10868039644493652,0.7433333333333334,0.10668154658117956
trees,0.0,0.923,0.06192737682156414,0.8266666666666667,0.08208590157935307
trees,0.1,0.9216666666666667,0.05762150722810097,0.8433333333333334,0.09232447954800242
trees,0.25,0.891,0.06378535434228952,0.7966666666666666,0.09722335600245936
trees,0.5,0.853,0.0936330222578704,0.77,0.11307393283031367
trees,1.0,0.7773333333333333,0.1078502047595027,0.7,0.10350983390135313
