model,param,value,is_best,roc_auc_mean,roc_auc_std
elastic,C,0.01,False,0.5,0.0
elastic,C,0.1,True,0.9266666666666666,0.06934615266104452
elastic,C,1,False,0.9053333333333332,0.06965310872858123
elastic,C,10,False,0.8953333333333333,0.07957107235393751
elastic,C,100,False,0.896,0.07718376340483364
elastic,l1_ratio,0.1,False,0.8986666666666667,0.07770599862444484
elastic,l1_ratio,0.3,False,0.9093333333333334,0.07869491018413384
elastic,l1_ratio,0.5,False,0.9226666666666667,0.06835853193924582
elastic,l1_ratio,0.7,True,0.9266666666666666,0.06934615266104452
elastic,l1_ratio,0.9,False,0.928,0.06705221845696087
svm,C,0.1,True,0.906,0.07097417370659086
svm,C,1,False,0.9060000000000001,0.07209253313161727
svm,C,10,False,0.9086666666666666,0.06781019261307421
svm,C,100,False,0.9053333333333334,0.06510162995057975
svm,gamma,scale,False,0.8973333333333335,0.08144254962173572
svm,gamma,0.01,True,0.906,0.07097417370659086
svm,gamma,0.1,False,0.9053333333333332,0.07614605848119929
svm,gamma,1,False,0.8593333333333335,0.09814728161741867
trees,max_depth,2,False,0.9186666666666667,0.05044689176638031
trees,max_depth,3,False,0.9219999999999999,0.05729456053297438
trees,max_depth,5,False,0.9239999999999999,0.05782732917920383
trees,max_depth,None,True,0.9229999999999998,0.059827529894968375
trees,min_samples_leaf,1,True,0.9229999999999998,0.059827529894968375
trees,min_samples_leaf,3,False,0.9246666666666666,0.05607930891950158
trees,min_samples_leaf,5,False,0.9179999999999998,0.06252466180103122
trees,max_features,sqrt,True,0.9229999999999998,0.059827529894968375
trees,max_features,0.5,False,0.9223333333333332,0.05306809043316162
trees,max_features,1.0,False,0.9209999999999999,0.050006666222281455
